from,to,average,threshold,collusion
Albania,Greece,6.904761904761905,3.8,TRUE
Albania,Italy,9.470588235294118,3.8,TRUE
Albania,Russia,4,3.7,TRUE
Albania,Sweden,4.136363636363637,3.9,TRUE
Armenia,France,4.8,4,TRUE
Armenia,Georgia,9.77777777777778,3.888888888888889,TRUE
Armenia,Greece,5.35,4,TRUE
Armenia,Malta,6.818181818181818,4.111111111111111,TRUE
Armenia,Moldova,4.470588235294118,4.111111111111111,TRUE
Armenia,Russia,8.846153846153847,4,TRUE
Armenia,Sweden,5.1,3.888888888888889,TRUE
Armenia,Ukraine,5.133333333333334,3.888888888888889,TRUE
Austria,Ireland,3.8181818181818183,3.8,TRUE
Austria,Italy,5.823529411764706,3.8,TRUE
Austria,Russia,4.333333333333333,3.9,TRUE
Austria,Sweden,4.578947368421052,3.8049999999999953,TRUE
Austria,Netherlands,5.333333333333333,3.9,TRUE
Azerbaijan,Belarus,7,4,TRUE
Azerbaijan,Georgia,5.444444444444445,3.8049999999999953,TRUE
Azerbaijan,Hungary,4.384615384615385,3.704999999999995,TRUE
Azerbaijan,Italy,3.823529411764706,3.8,TRUE
Azerbaijan,Malta,5.666666666666667,3.8,TRUE
Azerbaijan,Moldova,4,3.9,TRUE
Azerbaijan,Russia,10.5,3.9,TRUE
Azerbaijan,Ukraine,7.705882352941177,3.9,TRUE
Belarus,Armenia,4.9,4.142857142857143,TRUE
Belarus,Lithuania,4.785714285714286,4.142857142857143,TRUE
Belarus,Moldova,4.428571428571429,3.864285714285708,TRUE
Belarus,Norway,4.928571428571429,4.007142857142851,TRUE
Belarus,Russia,8.272727272727273,4,TRUE
Belarus,Ukraine,7.363636363636363,4.142857142857143,TRUE
Belgium,Italy,5.352941176470588,3.7,TRUE
Belgium,Russia,4.142857142857143,3.8,TRUE
Belgium,Sweden,5.958333333333333,3.8049999999999953,TRUE
Belgium,Netherlands,7.176470588235294,3.8049999999999953,TRUE
Belgium,Ukraine,5.368421052631579,3.8,TRUE
Bulgaria,Armenia,6.333333333333333,4,TRUE
Bulgaria,Greece,7.214285714285714,4.166666666666667,TRUE
Bulgaria,Moldova,4.6923076923076925,4.166666666666667,TRUE
Bulgaria,Russia,6,4.166666666666667,TRUE
Bulgaria,Ukraine,4.533333333333333,4.333333333333333,TRUE
Croatia,Hungary,6.7272727272727275,4.125,TRUE
Croatia,Italy,6.933333333333334,4.125,TRUE
Croatia,Russia,5.5,4.375,TRUE
Croatia,Ukraine,5.6875,4.125,TRUE
Cyprus,Armenia,4.117647058823529,3.888888888888889,TRUE
Cyprus,Greece,11,3.888888888888889,TRUE
Cyprus,Italy,6.5625,3.888888888888889,TRUE
Cyprus,Malta,4.071428571428571,3.7777777777777777,TRUE
Cyprus,Russia,8.307692307692308,3.7777777777777777,TRUE
Cyprus,Sweden,5.217391304347826,3.7777777777777777,TRUE
Cyprus,Ukraine,4.8,3.7777777777777777,TRUE
Denmark,Belgium,5.111111111111111,3.8,TRUE
Denmark,Finland,4.615384615384615,3.8,TRUE
Denmark,Iceland,6.142857142857143,3.9,TRUE
Denmark,Norway,7.48,3.7,TRUE
Denmark,Sweden,9.363636363636363,3.9,TRUE
Denmark,Netherlands,6.32,3.9,TRUE
Denmark,Ukraine,4.380952380952381,3.8049999999999953,TRUE
Estonia,Denmark,4.571428571428571,3.8,TRUE
Estonia,Finland,7.095238095238095,3.8,TRUE
Estonia,Hungary,4.647058823529412,3.8,TRUE
Estonia,Lithuania,5.333333333333333,3.8049999999999953,TRUE
Estonia,Norway,4,3.9,TRUE
Estonia,Russia,6.642857142857143,3.8,TRUE
Estonia,Sweden,7.15,3.8,TRUE
Estonia,Netherlands,4.809523809523809,3.8,TRUE
Estonia,Ukraine,5.3125,3.7,TRUE
F.Y.R. Macedonia,Malta,4.375,4.333333333333333,TRUE
F.Y.R. Macedonia,Russia,5.2,4.333333333333333,TRUE
Finland,Estonia,6.2,3.8,TRUE
Finland,Iceland,5.473684210526316,3.7,TRUE
Finland,Norway,5.411764705882353,3.9,TRUE
Finland,Russia,4.25,3.6,TRUE
Finland,Sweden,8.523809523809524,3.9,TRUE
Finland,Netherlands,3.941176470588235,3.7,TRUE
France,Armenia,7.555555555555555,3.8,TRUE
France,Belgium,4.066666666666666,3.9,TRUE
France,Italy,5.529411764705882,3.9,TRUE
France,Moldova,4.095238095238095,3.9,TRUE
France,Russia,3.933333333333333,3.9,TRUE
France,Netherlands,3.9583333333333335,3.9,TRUE
France,Ukraine,4,3.8,TRUE
Georgia,Armenia,8.625,3.8,TRUE
Georgia,Azerbaijan,6.888888888888889,3.9,TRUE
Georgia,Belarus,4.25,3.8,TRUE
Georgia,Italy,3.8823529411764706,3.8,TRUE
Georgia,Lithuania,5,3.9,TRUE
Georgia,Russia,4.333333333333333,3.8,TRUE
Georgia,Sweden,4.739130434782608,3.9,TRUE
Georgia,Ukraine,7.647058823529412,3.8,TRUE
Germany,Italy,4.176470588235294,3.8,TRUE
Germany,Norway,4.103448275862069,3.8,TRUE
Germany,Russia,4.066666666666666,3.7,TRUE
Germany,Sweden,5.407407407407407,3.8,TRUE
Germany,Netherlands,4.8,3.7,TRUE
Germany,Ukraine,4.421052631578948,3.7,TRUE
Greece,Armenia,5.285714285714286,3.7,TRUE
Greece,Azerbaijan,4.25,3.6,TRUE
Greece,Italy,5.125,3.7,TRUE
Greece,Moldova,5.166666666666667,3.9049999999999954,TRUE
Greece,Romania,5.1,3.7,TRUE
Greece,Russia,7.916666666666667,3.9,TRUE
Hungary,Azerbaijan,4.769230769230769,4,TRUE
Hungary,Denmark,5.769230769230769,4.142857142857143,TRUE
Hungary,Iceland,5.1,4,TRUE
Hungary,Norway,4.5,4.142857142857143,TRUE
Hungary,Russia,4.615384615384615,4.285714285714286,TRUE
Hungary,Netherlands,5.666666666666667,3.857142857142857,TRUE
Iceland,Denmark,5,3.9,TRUE
Iceland,Finland,4.476190476190476,3.9,TRUE
Iceland,Norway,6,3.6,TRUE
Iceland,Russia,3.75,3.6,TRUE
Iceland,Sweden,8.142857142857142,3.7,TRUE
Iceland,Netherlands,5.684210526315789,3.7,TRUE
Iceland,Ukraine,4.1875,3.8,TRUE
Ireland,Belgium,3.9047619047619047,3.7,TRUE
Ireland,Lithuania,6.12,3.9,TRUE
Ireland,Russia,4.285714285714286,3.8,TRUE
Ireland,Sweden,5.6,3.9049999999999954,TRUE
Ireland,Netherlands,4,3.9,TRUE
Israel,Estonia,4.176470588235294,3.9,TRUE
Israel,Italy,4.375,3.8,TRUE
Israel,Romania,4.066666666666666,4,TRUE
Israel,Russia,6.818181818181818,3.8049999999999953,TRUE
Israel,Sweden,5.739130434782608,3.8,TRUE
Israel,Ukraine,6.944444444444445,3.7,TRUE
Italy,Denmark,4.411764705882353,3.8049999999999953,TRUE
Italy,Malta,4.4375,3.9,TRUE
Italy,Moldova,6.8,4,TRUE
Italy,Romania,4.428571428571429,3.9049999999999954,TRUE
Italy,Ukraine,7.304347826086956,3.9,TRUE
Latvia,Estonia,7.538461538461538,3.8,TRUE
Latvia,Finland,4.533333333333333,3.8,TRUE
Latvia,Iceland,4.764705882352941,3.7,TRUE
Latvia,Lithuania,7.684210526315789,3.9,TRUE
Latvia,Moldova,3.857142857142857,3.6,TRUE
Latvia,Norway,4.08,3.9,TRUE
Latvia,Russia,7.214285714285714,3.5049999999999955,TRUE
Latvia,Sweden,6.576923076923077,3.7,TRUE
Latvia,Netherlands,3.952380952380953,3.8,TRUE
Latvia,Ukraine,7.190476190476191,3.9,TRUE
Lithuania,Belgium,4.947368421052632,4,TRUE
Lithuania,Estonia,5.4375,3.9,TRUE
Lithuania,Georgia,6.875,3.9,TRUE
Lithuania,Italy,4.1875,3.8,TRUE
Lithuania,Norway,4.64,3.8,TRUE
Lithuania,Russia,5,3.8,TRUE
Lithuania,Sweden,5.545454545454546,3.9,TRUE
Lithuania,Netherlands,4.333333333333333,3.9,TRUE
Lithuania,Ukraine,8.142857142857142,3.7,TRUE
Malta,Azerbaijan,4.217391304347826,3.8,TRUE
Malta,Italy,9.882352941176473,3.7,TRUE
Malta,Romania,4.473684210526316,3.8,TRUE
Malta,Russia,4.764705882352941,3.8,TRUE
Malta,Sweden,7.222222222222222,3.8,TRUE
Moldova,Armenia,3.857142857142857,3.7,TRUE
Moldova,Azerbaijan,5.3,3.9049999999999954,TRUE
Moldova,Belarus,3.875,3.8,TRUE
Moldova,Romania,10.666666666666666,3.8,TRUE
Moldova,Russia,9.166666666666666,3.8,TRUE
Moldova,Sweden,4.2,3.7,TRUE
Moldova,Ukraine,8.5,3.7,TRUE
Montenegro,Armenia,4.071428571428571,4,TRUE
Montenegro,Azerbaijan,4.2105263157894735,3.75,TRUE
Montenegro,Italy,5.769230769230769,3.625,TRUE
Montenegro,Russia,6.846153846153846,3.875,TRUE
Montenegro,Ukraine,5.357142857142857,3.75,TRUE
Norway,Denmark,4.777777777777778,3.8,TRUE
Norway,Finland,5.3076923076923075,3.9,TRUE
Norway,Greece,4.133333333333334,3.8,TRUE
Norway,Iceland,4.416666666666667,3.8,TRUE
Norway,Lithuania,6.409090909090909,3.9,TRUE
