from,to,average,threshold,collusion
Belgium,Finland,0.9,5.4,FALSE
Belgium,France,5.125,5.4,FALSE
Belgium,Germany,4.3,5.6,FALSE
Belgium,Ireland,5.5,5.4,TRUE
Belgium,Israel,3.7777777777777777,5.4,FALSE
Belgium,Italy,2.875,5.4,FALSE
Belgium,Luxembourg,3.2,5.3,FALSE
Belgium,Monaco,3.142857142857143,5.5,FALSE
Belgium,Norway,2.1,5.4,FALSE
Belgium,Portugal,1.5,5.2,FALSE
Belgium,Spain,3.7,5.5,FALSE
Belgium,Sweden,1.4444444444444444,5.4,FALSE
Belgium,Switzerland,4.8,5.4,FALSE
Belgium,Netherlands,3,5.4,FALSE
Belgium,United Kingdom,5.9,5.4,TRUE
Belgium,Yugoslavia,2.5,5.5049999999999955,FALSE
Finland,Belgium,3.2,5.5049999999999955,FALSE
Finland,France,4,5.5,FALSE
Finland,Germany,3.6,5.2,FALSE
Finland,Ireland,2.1,5.3,FALSE
Finland,Israel,6.333333333333333,5.4,TRUE
Finland,Italy,4.75,5.5,FALSE
Finland,Luxembourg,3.7,5.4,FALSE
Finland,Monaco,3.2857142857142856,5.5049999999999955,FALSE
Finland,Norway,0.8,5.4,FALSE
Finland,Portugal,1,5.3,FALSE
Finland,Spain,3.1,5.4,FALSE
Finland,Sweden,3,5.3,FALSE
Finland,Switzerland,6,5.5,TRUE
Finland,Netherlands,3,5.5,FALSE
Finland,United Kingdom,4.9,5.5,FALSE
Finland,Yugoslavia,2.3333333333333335,5.5,FALSE
France,Belgium,2.375,5.625,FALSE
France,Finland,1.875,5.756249999999994,FALSE
France,Germany,5,5.625,FALSE
France,Ireland,5.25,5.625,FALSE
France,Israel,2.4285714285714284,5.625,FALSE
France,Italy,4.571428571428571,5.625,FALSE
France,Luxembourg,3.125,5.75,FALSE
France,Monaco,2.3333333333333335,5.5,FALSE
France,Norway,1.125,5.5,FALSE
France,Portugal,5.25,5.625,FALSE
France,Spain,2.25,5.75,FALSE
France,Sweden,3.7142857142857144,5.75,FALSE
France,Switzerland,5.25,5.625,FALSE
France,Netherlands,4.125,5.75,FALSE
France,United Kingdom,6.625,5.75,TRUE
France,Yugoslavia,2,5.625,FALSE
Germany,Belgium,2.7,5.4,FALSE
Germany,Finland,2.9,5.4,FALSE
Germany,France,6.25,5.3,TRUE
Germany,Ireland,4.2,5.4,FALSE
Germany,Israel,3.888888888888889,5.6,FALSE
Germany,Italy,2.625,5.304999999999995,FALSE
Germany,Luxembourg,2.1,5.4,FALSE
Germany,Monaco,4.142857142857143,5.3,FALSE
Germany,Norway,2.2,5.4,FALSE
Germany,Portugal,1.9,5.404999999999996,FALSE
Germany,Spain,4.1,5.5,FALSE
Germany,Sweden,2.5555555555555554,5.3,FALSE
Germany,Switzerland,4.6,5.4,FALSE
Germany,Netherlands,4.1,5.4,FALSE
Germany,United Kingdom,6.1,5.5,TRUE
Germany,Yugoslavia,1.3333333333333333,5.5,FALSE
Ireland,Belgium,2.4,5.5,FALSE
Ireland,Finland,3.3,5.4,FALSE
Ireland,France,5.875,5.6,TRUE
Ireland,Germany,3.6,5.404999999999996,FALSE
Ireland,Israel,5.222222222222222,5.5,FALSE
Ireland,Italy,5.375,5.4,FALSE
Ireland,Luxembourg,5.2,5.4,FALSE
Ireland,Monaco,3.4285714285714284,5.304999999999995,FALSE
Ireland,Norway,1.7,5.4,FALSE
Ireland,Portugal,1.3,5.5,FALSE
Ireland,Spain,2,5.304999999999995,FALSE
Ireland,Sweden,2.2222222222222223,5.5,FALSE
Ireland,Switzerland,4.9,5.2,FALSE
Ireland,Netherlands,3,5.5,FALSE
Ireland,United Kingdom,4.9,5.404999999999996,FALSE
Ireland,Yugoslavia,1.8333333333333333,5.3,FALSE
Israel,Belgium,2.5555555555555554,5.666666666666667,FALSE
Israel,Finland,3.3333333333333335,5.333333333333333,FALSE
Israel,France,5.857142857142857,5.444444444444445,TRUE
Israel,Germany,4.222222222222222,5.777777777777778,FALSE
Israel,Ireland,4,5.777777777777778,FALSE
Israel,Italy,1.7142857142857142,5.561111111111106,FALSE
Israel,Luxembourg,2.6666666666666665,5.449999999999996,FALSE
Israel,Monaco,3.4285714285714284,5.555555555555555,FALSE
Israel,Norway,1.2222222222222223,5.555555555555555,FALSE
Israel,Portugal,0.6666666666666666,5.555555555555555,FALSE
Israel,Spain,4.444444444444445,5.444444444444445,FALSE
Israel,Sweden,1.375,5.449999999999996,FALSE
Israel,Switzerland,2.888888888888889,5.555555555555555,FALSE
Israel,Netherlands,5.222222222222222,5.561111111111106,FALSE
Israel,United Kingdom,6.111111111111111,5.449999999999996,TRUE
Israel,Yugoslavia,0.6666666666666666,5.444444444444445,FALSE
Italy,Belgium,2,5.625,FALSE
Italy,Finland,1.125,5.75,FALSE
Italy,France,6.571428571428571,5.631249999999994,TRUE
Italy,Germany,3.125,6,FALSE
Italy,Ireland,4.375,5.625,FALSE
Italy,Israel,4.285714285714286,5.75,FALSE
Italy,Luxembourg,4.125,5.75,FALSE
Italy,Monaco,5.857142857142857,5.631249999999994,TRUE
Italy,Norway,2.5,5.75,FALSE
Italy,Portugal,3.375,5.75,FALSE
Italy,Spain,5.5,5.881249999999994,FALSE
Italy,Sweden,1.4285714285714286,5.631249999999994,FALSE
Italy,Switzerland,3,5.5,FALSE
Italy,Netherlands,1.5,5.875,FALSE
Italy,United Kingdom,3.125,5.756249999999994,FALSE
Italy,Yugoslavia,1,5.625,FALSE
Luxembourg,Belgium,2.3,5.2,FALSE
Luxembourg,Finland,1.8,5.4,FALSE
Luxembourg,France,6.25,5.104999999999995,TRUE
Luxembourg,Germany,2.6,5.5,FALSE
Luxembourg,Ireland,5.3,5.5,FALSE
Luxembourg,Israel,5.555555555555555,5.4,TRUE
Luxembourg,Italy,1.5,5.3,FALSE
Luxembourg,Monaco,3.5714285714285716,5.4,FALSE
Luxembourg,Norway,1.8,5.6,FALSE
Luxembourg,Portugal,2.4,5.5,FALSE
Luxembourg,Spain,3.5,5.4,FALSE
Luxembourg,Sweden,3.2222222222222223,5.3,FALSE
Luxembourg,Switzerland,3.7,5.6,FALSE
Luxembourg,Netherlands,3.9,5.4,FALSE
Luxembourg,United Kingdom,7.2,5.4,TRUE
Luxembourg,Yugoslavia,0.6666666666666666,5.6,FALSE
Monaco,Belgium,3.7142857142857144,5.857142857142857,FALSE
Monaco,Finland,2.857142857142857,5.857142857142857,FALSE
Monaco,France,7.166666666666667,5.857142857142857,TRUE
Monaco,Germany,4,5.857142857142857,FALSE
Monaco,Ireland,3,5.857142857142857,FALSE
Monaco,Israel,3.7142857142857144,5.714285714285714,FALSE
Monaco,Italy,3.4285714285714284,5.857142857142857,FALSE
Monaco,Luxembourg,2.5714285714285716,6,FALSE
Monaco,Norway,2.2857142857142856,6,FALSE
Monaco,Portugal,1.5714285714285714,5.714285714285714,FALSE
Monaco,Spain,3.2857142857142856,5.864285714285708,FALSE
Monaco,Sweden,1.8333333333333333,5.857142857142857,FALSE
Monaco,Switzerland,2.5714285714285716,6,FALSE
Monaco,Netherlands,2.857142857142857,5.857142857142857,FALSE
Monaco,United Kingdom,7.142857142857143,5.714285714285714,TRUE
Monaco,Yugoslavia,1.25,5.857142857142857,FALSE
Norway,Belgium,2.9,5.404999999999996,FALSE
Norway,Finland,3.5,5.4,FALSE
Norway,France,4.125,5.4,FALSE
Norway,Germany,1.8,5.4,FALSE
Norway,Ireland,5.5,5.4,TRUE
Norway,Israel,5.666666666666667,5.5,TRUE
Norway,Italy,3.125,5.4,FALSE
Norway,Luxembourg,2.4,5.4,FALSE
Norway,Monaco,2,5.3,FALSE
Norway,Portugal,1.9,5.5,FALSE
Norway,Spain,2,5.5,FALSE
Norway,Sweden,4.666666666666667,5.5,FALSE
Norway,Switzerland,6.7,5.3,TRUE
Norway,Netherlands,2.3,5.5,FALSE
Norway,United Kingdom,5.2,5.5,FALSE
Norway,Yugoslavia,0.5,5.4,FALSE
Portugal,Belgium,4,5.3,FALSE
Portugal,Finland,0.6,5.2,FALSE
Portugal,France,5.25,5.4,FALSE
Portugal,Germany,5.5,5.404999999999996,TRUE
Portugal,Ireland,1.8,5.5,FALSE
