from,to,average,threshold,collusion
Austria,Belgium,0.8333333333333334,4.166666666666667,FALSE
Austria,Bosnia & Herzegovina,9.125,4.166666666666667,TRUE
Austria,Croatia,7.166666666666667,4.166666666666667,TRUE
Austria,Cyprus,1.5,4.008333333333326,FALSE
Austria,Estonia,0.7142857142857143,4.166666666666667,FALSE
Austria,France,0.3333333333333333,4.166666666666667,FALSE
Austria,Germany,5.333333333333333,4.166666666666667,TRUE
Austria,Greece,1.5,4.333333333333333,FALSE
Austria,Iceland,0.2857142857142857,4,FALSE
Austria,Ireland,1.5,4.166666666666667,FALSE
Austria,Israel,1.2857142857142858,4.008333333333326,FALSE
Austria,Latvia,0.625,4,FALSE
Austria,Malta,0.8333333333333334,4.333333333333333,FALSE
Austria,Norway,0.6666666666666666,3.8333333333333335,FALSE
Austria,Poland,4.75,4,TRUE
Austria,Portugal,0,4.166666666666667,FALSE
Austria,Romania,4.111111111111111,4.166666666666667,FALSE
Austria,Russia,3.2857142857142856,4,FALSE
Austria,Slovenia,2.2857142857142856,4.166666666666667,FALSE
Austria,Spain,1,4.333333333333333,FALSE
Austria,Sweden,3.7142857142857144,4,FALSE
Austria,Netherlands,0.5,4.008333333333326,FALSE
Austria,Turkey,8.333333333333334,4.166666666666667,TRUE
Austria,Ukraine,1.5,4.166666666666667,FALSE
Austria,United Kingdom,0,4,FALSE
Belgium,Austria,0.5714285714285714,3.7,FALSE
Belgium,Bosnia & Herzegovina,1.5,3.6049999999999955,FALSE
Belgium,Croatia,0.1111111111111111,3.6,FALSE
Belgium,Cyprus,1.8,3.5049999999999955,FALSE
Belgium,Estonia,0.7272727272727273,3.6,FALSE
Belgium,France,2.3,3.6,FALSE
Belgium,Germany,1.8,3.6,FALSE
Belgium,Greece,7.928571428571429,3.5,TRUE
Belgium,Iceland,2.6923076923076925,3.5,FALSE
Belgium,Ireland,2.5833333333333335,3.7,FALSE
Belgium,Israel,2.769230769230769,3.6,FALSE
Belgium,Latvia,1.1818181818181819,3.6049999999999955,FALSE
Belgium,Malta,1.6,3.6,FALSE
