from,to,average,threshold,collusion
Austria,Bosnia & Herzegovina,9.125,4.166666666666667,TRUE
Austria,Croatia,7.166666666666667,4.166666666666667,TRUE
Austria,Germany,5.333333333333333,4.166666666666667,TRUE
Austria,Poland,4.75,4,TRUE
Austria,Turkey,8.333333333333334,4.166666666666667,TRUE
Belgium,Greece,7.928571428571429,3.5,TRUE
Belgium,Portugal,3.9,3.7,TRUE
Belgium,Sweden,4,3.4,TRUE
Belgium,Netherlands,8.5,3.5,TRUE
Belgium,Turkey,10,3.4,TRUE
Bosnia & Herzegovina,Croatia,10.6,3.4,TRUE
Bosnia & Herzegovina,Greece,4.230769230769231,3.7,TRUE
Bosnia & Herzegovina,Slovenia,7.2,3.4,TRUE
Bosnia & Herzegovina,Turkey,8.76923076923077,3.5,TRUE
Croatia,Bosnia & Herzegovina,10.384615384615383,3.6,TRUE
Croatia,Slovenia,7.1,3.6,TRUE
Cyprus,Greece,12,3.5,TRUE
Cyprus,Romania,5.571428571428571,3.7,TRUE
Cyprus,Russia,5.333333333333333,3.6,TRUE
Cyprus,Sweden,3.5384615384615383,3.4,TRUE
Cyprus,Ukraine,4.75,3.6,TRUE
Estonia,Latvia,7,3.5,TRUE
Estonia,Norway,6.384615384615385,3.7,TRUE
Estonia,Russia,9.692307692307692,3.7,TRUE
Estonia,Sweden,7.25,3.4049999999999954,TRUE
Estonia,Ukraine,4.266666666666667,3.5,TRUE
France,Belgium,5.625,3.6,TRUE
France,Israel,6,3.6,TRUE
France,Portugal,7.818181818181818,3.5049999999999955,TRUE
France,Spain,4.1,3.5,TRUE
France,Sweden,3.923076923076923,3.7,TRUE
France,Turkey,10.461538461538462,3.6,TRUE
Germany,Austria,4.5,3.6,TRUE
Germany,Bosnia & Herzegovina,4,3.4,TRUE
Germany,Greece,8.384615384615385,3.6,TRUE
Germany,Poland,5.875,3.7,TRUE
Germany,Portugal,4.454545454545454,3.6,TRUE
Germany,Russia,4.3076923076923075,3.6,TRUE
Germany,Turkey,10.153846153846152,3.704999999999995,TRUE
Greece,Cyprus,12,3.5,TRUE
Greece,Romania,4.384615384615385,3.7,TRUE
Greece,Russia,4.533333333333333,3.5,TRUE
Greece,Ukraine,3.6153846153846154,3.6,TRUE
Iceland,Belgium,3.6666666666666665,3.5,TRUE
Iceland,Cyprus,3.8,3.6,TRUE
Iceland,Norway,7.272727272727272,3.5,TRUE
Iceland,Sweden,6.916666666666667,3.7,TRUE
Iceland,Ukraine,3.8461538461538463,3.6,TRUE
Ireland,Estonia,4.363636363636363,3.6,TRUE
Ireland,Latvia,6.454545454545454,3.6,TRUE
Ireland,Norway,4.916666666666667,3.6,TRUE
Ireland,Poland,6.125,3.6,TRUE
Ireland,Romania,4.533333333333333,3.6,TRUE
Ireland,Sweden,4.666666666666667,3.6,TRUE
Ireland,United Kingdom,6.3,3.5,TRUE
Israel,Greece,3.6153846153846154,3.5,TRUE
Israel,Romania,7.0625,3.5,TRUE
Israel,Russia,8.923076923076923,3.6,TRUE
Israel,Sweden,5,3.6,TRUE
Israel,Ukraine,5.785714285714286,3.604999999999995,TRUE
Latvia,Estonia,8.818181818181818,3.4049999999999954,TRUE
Latvia,Ireland,4.083333333333333,3.6,TRUE
Latvia,Norway,4.818181818181818,3.5,TRUE
Latvia,Russia,9.307692307692308,3.4,TRUE
Latvia,Sweden,3.75,3.5,TRUE
Latvia,Ukraine,5.666666666666667,3.7,TRUE
Malta,Belgium,3.625,3.604999999999995,TRUE
Malta,Greece,5.153846153846154,3.4,TRUE
Malta,Iceland,4.5,3.5,TRUE
Malta,Latvia,5.1,3.6,TRUE
Malta,Sweden,6.3076923076923075,3.604999999999995,TRUE
Malta,Netherlands,4.571428571428571,3.604999999999995,TRUE
Malta,Ukraine,4.5,3.6,TRUE
Malta,United Kingdom,4,3.7,TRUE
Norway,Bosnia & Herzegovina,6.071428571428571,3.5,TRUE
Norway,Iceland,8.454545454545455,3.6,TRUE
Norway,Sweden,9.083333333333334,3.5,TRUE
Poland,Belgium,4.75,3.672222222222217,TRUE
Poland,Norway,5.083333333333333,3.5555555555555554,TRUE
Poland,Russia,3.8461538461538463,3.6666666666666665,TRUE
Poland,Ukraine,7.5,3.5555555555555554,TRUE
Portugal,Belgium,4.625,3.4,TRUE
Portugal,Greece,3.6153846153846154,3.6,TRUE
Portugal,Iceland,3.928571428571429,3.5,TRUE
Portugal,Latvia,3.6,3.4049999999999954,TRUE
