from,to,average,threshold,collusion
Austria,Belgium,1.125,5.875,FALSE
Austria,Denmark,0.75,6,FALSE
Austria,Finland,0.875,6,FALSE
Austria,France,1.625,6,FALSE
Austria,Germany,1.375,6,FALSE
Austria,Italy,1.875,5.875,FALSE
Austria,Luxembourg,2.125,5.875,FALSE
Austria,Monaco,1.25,6,FALSE
Austria,Norway,1.25,6.125,FALSE
Austria,Spain,1.5,5.75,FALSE
Austria,Sweden,1.5714285714285714,6,FALSE
Austria,Switzerland,3.25,5.75,FALSE
Austria,Netherlands,1.5,5.875,FALSE
Austria,United Kingdom,1.875,6,FALSE
Austria,Yugoslavia,1.25,6,FALSE
Belgium,Austria,1.875,5.9,FALSE
Belgium,Denmark,1.25,5.9,FALSE
Belgium,Finland,2,5.9,FALSE
Belgium,France,1.7,5.7,FALSE
Belgium,Germany,1.7,5.8,FALSE
Belgium,Italy,1.9,5.9,FALSE
Belgium,Luxembourg,1.3,6,FALSE
Belgium,Monaco,1.6,5.8,FALSE
Belgium,Norway,1.2222222222222223,5.904999999999996,FALSE
Belgium,Spain,1.1,5.904999999999996,FALSE
Belgium,Sweden,1.625,5.8,FALSE
Belgium,Switzerland,1.2,5.9,FALSE
Belgium,Netherlands,0.5,6.0049999999999955,FALSE
Belgium,United Kingdom,2.6,5.9,FALSE
Belgium,Yugoslavia,1.3,5.9,FALSE
Denmark,Austria,0.25,7,FALSE
Denmark,Belgium,0,7,FALSE
Denmark,Finland,1.5,6.762499999999989,FALSE
Denmark,France,0,6.75,FALSE
Denmark,Germany,0,7,FALSE
Denmark,Italy,1.25,7,FALSE
Denmark,Luxembourg,0.75,7.25,FALSE
Denmark,Monaco,0,7,FALSE
Denmark,Norway,1.25,6.75,FALSE
Denmark,Spain,0,6.75,FALSE
Denmark,Sweden,2.6666666666666665,7.25,FALSE
Denmark,Switzerland,1,6.762499999999989,FALSE
Denmark,Netherlands,0.25,6.762499999999989,FALSE
Denmark,United Kingdom,1.25,6.75,FALSE
Denmark,Yugoslavia,0,6.75,FALSE
Finland,Austria,1.375,6,FALSE
Finland,Belgium,1.5555555555555556,5.777777777777778,FALSE
Finland,Denmark,2,5.777777777777778,FALSE
Finland,France,0.8888888888888888,5.888888888888889,FALSE
Finland,Germany,1.1111111111111112,5.888888888888889,FALSE
Finland,Italy,1.7777777777777777,5.777777777777778,FALSE
Finland,Luxembourg,2.111111111111111,5.777777777777778,FALSE
Finland,Monaco,1.6666666666666667,5.777777777777778,FALSE
Finland,Norway,1.2222222222222223,5.777777777777778,FALSE
Finland,Spain,1.7777777777777777,5.777777777777778,FALSE
Finland,Sweden,2.75,6,FALSE
Finland,Switzerland,1.4444444444444444,5.672222222222217,FALSE
Finland,Netherlands,1.6666666666666667,5.888888888888889,FALSE
Finland,United Kingdom,3.2222222222222223,5.777777777777778,FALSE
Finland,Yugoslavia,0.7777777777777778,5.888888888888889,FALSE
France,Austria,1.75,5.8,FALSE
France,Belgium,1.2,5.9,FALSE
France,Denmark,0,5.7,FALSE
France,Finland,0.7777777777777778,6.1,FALSE
France,Germany,1.7,5.8,FALSE
France,Italy,1.7,5.8,FALSE
France,Luxembourg,2.2,5.8,FALSE
France,Monaco,2.4,5.9,FALSE
France,Norway,0.8888888888888888,6,FALSE
France,Spain,2.1,5.9,FALSE
France,Sweden,1,5.8,FALSE
France,Switzerland,1.8,5.8,FALSE
France,Netherlands,1.9,5.8,FALSE
France,United Kingdom,3.4,6,FALSE
France,Yugoslavia,1.3,5.9,FALSE
